title,author,age_range,isbn
ill ustrat ions that add to the read abil ity and pr ovide som e of the biggest laughs.,Indigo Wilde and the Creatures at Jellybean Crescent,8,
"and cr oquet-playi ng yetis, amongst other creatures.","When a new arri val escapes, thi ngs at J e llybean Crescent start to get a littl e out of",8,
"smog, Aunt Caz is pr omptly kidnapped, so Oll ie bravely embarks on a rescue mission.","This entertai ni ng, ill ustrated chapter book is full of intrigue and humour, with an",8,
some secret treasure changes Ray's l if e forever Œ and she becomes Rai nbow Gre y.,Rainbow Gre y,8,
young readers will l ove to own or borr ow.,The Very Merry Murder Club,8,
Arjun witnesses a neighbourhood cri me whil e recoveri ng at home fr om havi ng his tonsils out.,"Featuri ng stories by a number of popular w riters, this is a treat of a book for all young",8,
to the concept of d ares leads to 4B undergoi ng some truly revolti ng tasks.,"Featuri ng two side-splitti ngly funny short sto ries, this is an extremely enjoyable",8,
"which injec t much hilarity i nto the riotous tal es, it is ideal for young, i ndependent readers.",Sleepover Takeover,8,
to go al ong.,"The party is spec tacular. That is, until Otis w akes next morni ng to a scene of absolu te",8,
"Tiana must team up to try and solve the mystery, cl ear up the mess Œ and f i nd Jagger.","A fantastically funny, exciti ng my stery th rill er with a dramatic, slapstick f i nal e,",8,
poachers do?,"This is the f irst i n the Adventure Club series, packed with black-and-white ill ustrations and",8,
combination for young readers.,Return of the PESTS,8,
forced to take ac tion when Col i n™s grand plans for the buildi ng put their l i ves i n jeopardy.,This hila rious tal e about an endeari ng collection of creatures will del ight independent young readers.,8,
the hidden history of World War Two Œ and his own family.,"Another s ensiti ve, thought ful book from O njal i Q. Raú f that highl ights the w ay that peopl e",8,
a weirdo.,"With the help of her real f riends and her perf ectly i mperf ec t family, can Harper fi nd the",8,
10-11,Age,,
centuries of war between humans and inte lligent machines.,Could Adam-2 hold the ke y to savi ng the world by destr oying one side and,,
must def end Chid ani – even if he does not feel ready.,With echoes of,,
understand herself a l ittl e better. A great story about g rowi ng up and l earni ng who you are.,Dread Wood,,
expec ted and death aw aits anyone who d ares to put a foot to the gr ound.,"Not for the fai nt-hearted, this edge-of-seat horr or is hard to put down, with many chapters endi ng",,
†“ˇ˙˝,˙˝,,
˝˙˛˘˝˛š,˙˘ˆ,,
l ongs for an Amber Ticket which will gi ve hi m his freedom.,"As a half-ghost, it is up to Luke to discover Tabatha Margate™s evil plan, and why",10-11,
comi ng back to ag ai n and ag ai n.,How Not to be a Vampire Slayer,10-11,
not to enter the woods as no human has ever come out al i ve–,"Expec t vampires, bats, swishi ng capes, an ancient castl e, a greedy",10-11,
adventure that is more funny than frighteni ng.,Julia and the Shark,10-11,
"Kiran Millwood Harg rave™s captivati ng story of family, love and mental illnes s is compl emented","by unusu al yell ow and black, often abstrac t, ill ustra tions by Tom de Freston.",10-11,
the Sirens™.,"Ramya is a bright, determi ned, bold and hugely l i keabl e character who",10-11,
al ongside the magical real ism of the story.,Good News,10-11,
that will reassure and empower young peopl e.,"Bad news is not ignored , as it™s i mportant to understand what™s w r ong to be abl e",10-11,
research that address a range of world problems.,This ma rvell ous book will help young peopl e to better understand the world i n which,10-11,
that look l i ke her mum and dad Œ but def i nitely aren™t.,"With the help of a g ang of talki ng animals,",10-11,
come home with the new baby?,Perf ec t for fans of Neil Gaiman™s,10-11,
with lots of sensitivity.,Ill us t ra t ion © Anjan Sarkar,10-11,
mart ial arts and sailing.,The compilation of moti va tional stories is enhanced by styl ish design and,10-11,
"dreams, redef i ne stereotypes and never gi ve up.",Striking Out,10-11,
try out for the major cl ubs.,A chance meeti ng with legend ary striker Ian Wright changes everything.,10-11,
"With Ian™s guid ance, can Jer ome turn his fortunes ar ound?",This eng agi ng and uplifti ng novel is based on Ian Wright™s own childhood,10-11,
that takes a l ot of time and patience!,"This beautiful, heart f elt graphic novel is C hang™s story of befriending Sorya",10-11,
whil e stunni ng ill ustrations bri ng C hang™s world to l if e.,Mia and the Lightcasters,10-11,
years ago has frightened her to stayi ng withi n the city w alls.,Now Mia™s parents have been captured and caged Œ and it™s her job to f i nd help,10-11,
f irst she must f i nd and tame her umbr a.,"A th rill i ng and i magi native story, perf ec t for young g amers.",10-11,
the Brit ish government to suppress her ac tions and words.,Pri ncess Sophia Dul eep Si ngh™s fascin a ti ng l if e has been ignored unt il recently,10-11,
for any s chool that i ntends to cover the history of wom en™s rights.,Onyeka and the Academy of the Sun,10-11,
and the t i mel ess clash between good and evil.,Onyeka hates her wild mass of out-of-contr ol hair. Until the d ay at the swi mmi ng pool,10-11,
herself i n the middl e of an epic battl e that th reatens he r very existence–,33,10-11,
needs his friends to get hi m th r ough.,"Portico™s story is fun, but it™s also a s erious child™s-e ye view of coping with the",10-11,
"dynamic read, perf ec t for kids who thi nk the y don™t li ke books.",The Amazing Edie Eckhar t,10-11,
and begi ns to devel op some very special relationshi ps of her own.,"Edie has cerebral palsy, a ffec ti ng her speech and meani ng she someti mes",10-11,
"devel op determi nation, resilience and a wicked sense of humour.","The f irst in a series, this entertai ning book sensitively expl ores the",10-11,
"own, enl isti ng the help of her cl osest f riends.","As the y s et out to attempt to obtain their Campi ng Badge,",10-11,
But can the y succeed?,The Lost Whale,10-11,
"joi n forces to f i nd her. Comi ng together to rescue Whitebeak, famil ies are heal ed.","With passionate and ly rical descri ptions of the sea and whal es, this novel takes us th r ough",10-11,
and his place i n the world.,The Ogress and the Orphans,10-11,
he seems?,This charmi ng story is both a brill iantly i magi ned fairy tal e-styl e fantasy world as well as a very,10-11,
"the y have l ots i n comm on , i ncl udi ng identical diaries, and the y become instant friends.","H owever, their relationshi p is tested when two spiteful girls i n their class befriend Ade",10-11,
book also s ensiti vely expl ores the topics of bereavement and parental separation.,Ill us tr a t ion © Emily Rowland,10-11,
The Secret Sunshine Project,"Benjamin Dea n, illustra ted by Sa n dhya Prabha t",36,
"can™t go to Pride, Bea will bri ng Pride to her.","With a magnif icent cast of di verse and incl usi ve charac ters, this is a story of",36,
be yond the grave.,"Set ag ainst the backdr op of the Cuban Missil e Crisis, Stevie™s story shows how",36,
"somethi ng is not right, you may f i nd that other people f eel the same w ay.",Wished,36,
converti ng their house to accommod ate Ed ™s wheel chair.,"Despite the lack of WiFi, the pr ospec ts for their week",36,
don™t always get quite what you™d imagi ned–,Utterly bonkers and totally brill iant; s eari ngly funny and,36,
smil e and maybe even shed a tear or two.,Ill us tr a t ion © Anjan Sarkar,36,
"Are you looking to bring diverse and inclusive books,",authors and illus trators to your school?,,
"Befo re the eve nt, simply sen d in you r pupils™ qu estio ns using the fo rm o n ou r w e b site an d","download our pre-event pack, which in cludes free chapter samples, resources an d activities.",,
"So, if you™re a teache r, a te aching assist ant o r a lib rarian , make su re you do n™t miss out by sig ning u p today.",Se e you there!,,
BIG plans!,He is o n a missio n to cele b rate the,,
Poetry Prompts,videos on,,
poe m based o n the p ro mpt give n.,We e n cou rag e schoo ls to pl ay this du r ing registratio n an d,,
We have teamed u p with,Centre for Literacy in Primary,,
Education,(CLPE) to cre ate free resou rces to guide you,,
BookTrust™s,G reat  Books  G uide,,
Diana Gerald,Conte nts,,
"competitions,  fun  ac tivities  and  much  more!","Cover ill ustration, this p age and",,
Guide  2019,". At Bo okTrust, our priority",,
"is fun, children will want to do it.",Tha t™s why we™ve put to gether this,,
ab s o lutely  brilliant.,Inside you™ll ˜ nd 1 00 bo oks tha t are,,
excite children all the way up to age 11.,"At Bo okTrust, we believe the right bo ok",,
you to ˜ nd tha t bo ok .,Happy  reading!,,
0-3,Age,,
book with si ng al ong CD.,"Repetition, music and stunning, dynamic illustrations",,
large ut ility vehicl es.,Lenny and Wilbur,,
will be famil iar to many pres chool ers.,This ill ustration-l ed pic ture book about the special,,
and refl ec t i ve of a cultur ally di verse family.,"Go, Go, Pirate Boat",,
i n ti me for tea!,Witty ill ustrations and i nspired rhymi ng text (to be,,
l if e as a buccaneer.,Ill us t ra t ion © Nick Sharratt,,
0-3,0-3,0-3,
"shouti ng ‚Abracad abra, ka takurico! What™s i n the hat?™",Making Tracks: Farm,0-3,
Or Fynn the farmer™s boots?,This colourful board book has flaps and cut outs so,0-3,
with the very young.,My Name is Bear!,0-3,
to be pol ite and ki nd?,"Beautifully formatted , wittily illustrated",0-3,
and considerate.,Amazing,0-3,
"l i brary, play basketball, make music and raid the fridge.",A del ightful story about f riendshi p and bei ng oneself;,0-3,
and wonderful.,Jump and Shout!,0-3,
"that playi ng it™s no wonder everyone™s s l eepy, so it™s t i me for cuddl es.",A wonderful book for toddlers and preschoolers.,0-3,
f irst counti ng book.,Treacle Street : Marcel's Parcels,0-3,
l ift-the- flap book that's perf ec t for inquisiti ve toddl ers.,First Explorers: Beautif ul Birds,0-3,
"fabul ous, interac ti ve, ea rly learni ng board book.","F un fac ts, birds to spot on every page and f i ve",0-3,
mechanisms bri ng the col ourful pages to l if e.,Meekoo and the Big Red Potty,0-3,
to the bath r oom and usi ng the potty.,Interac t i ve noise buttons make this potty trai ni ng,0-3,
overcomi ng prejudice.,"Hello, Orange Tiger",0-3,
"this sturdy, early l earning board book.","Encourages hand-e ye coordination, col our recognition and",0-3,
"plans to get them together, it is fate that f i nally unites them.",A unique voice and w ryly humor ous ill ustrations will l eave,0-3,
string and friendship.,Woodland Sounds,0-3,
such as the barki ng deer Œ are fasci nati ng to hear.,"A high-qu al ity, sturdy toddl er book.",0-3,
much choice Œ will the y ever f i nd the perf ec t one?,Super fun and perf ec t for readi ng al oud.,4-5,
and Oc topus gets i n a twist with gl uten- free spaghetti .,"Accompanied by bright, bold ill ustrations that are full of",4-5,
"gets too annoyi ng, Ravi roa rs Œ and turns into a tiger!",But who w ants to play with a tiger? Ravi soon l earns that,4-5,
too Œ Baby!,"A cl ever, beautiful book of words begi nni ng with",4-5,
for a good night™s sl eep.,A beautiful book full of stars and dreams.,4-5,
so he can head off to play agai n.,"This exuberant book has w a rm , soft",4-5,
rhythm and onomatopoeia.,Illus trat ion,4-5,
but everyone still l oves hi m!,A l ovely cel ebration of famil ies.,4-5,
need somethi ng else to snuggl e i nstead!,"This is a l ovely book abou t shari ng, and great",4-5,
"acr oss the sea and up snowy mountai ns, but to no avail.","A del ightfully funny pic ture book bu rsti ng with disti nc ti ve,",4-5,
spoiling their d ay.,This thought-pr ovoking pic ture book with vi brant,4-5,
to enabl e the planet to thri ve.,Dinosaur Farm!,4-5,
What abou t a Tyrannosau rus rex i n a combi ne harvester?,"A gl orious mash-up of di nosaurs and farm l if e,",4-5,
"who obses s over both. F un , d a ft and educa tional.",Look Up!,4-5,
"park to watch it, wha t will she do?",This charmi ng pic ture book is a l ovely,4-5,
and one girl™s i nf ec tious enthusiasm.,Ill us t ra t ion © Nadia Shireen,4-5,
i ngenious Billy must rescue her friend.,"Bright, funny and expressi ve.",4-5,
lifelong memories.,"Subtly i ncl usi ve, Mi na and her grandma™s l if e is observed with si mpl e",4-5,
a r ocket and sets off al one.,"With lots of fac ts abou t the Moon and mol es, this book",4-5,
al ong the w ay.,The Pawed Piper,4-5,
girls realises her plan might have worked a littl e too well.,A sweet and playful story.,4-5,
to bust a m ove of their own.,Energet ic ill ustrations and superb rhythmic text will have,4-5,
l eavi ng absol ute chaos i n their w ake.,"Burst ing with l i vely ill ustrations, this funny tal e will del ight",4-5,
expec ti ng Œ Bearl issi mo!,"A funny, chaotic book about friendshi p and sunny Sund ays.",4-5,
"taste. B ut then Littl e Donke y eats so much grass, she turns green!",This hila rious story touches on the quirks of fussy eaters i n a,4-5,
with the g ardeni ng and get very muddy in the park.,"This hea rtw armi ng, joyful tal e of friendshi p also has a g reat",6-7,
friends with Gi nger?,An adorabl e dog story with an underlyi ng m essage of,6-7,
"ethnicities and family set-ups, gi vi ng it br oad app eal.","An i nforma ti ve and reassuring pic ture book, perf ec t for any",6-7,
fr om kit to rul es and pitch diagrams.,Hotel Flamingo,6-7,
"turns up, everythi ng is th r own i nto doubt.",A gentle hug of a book that's perf ec t for young boys and girls.,6-7,
the y l eave behi nd.,Accompanied by i nformative,6-7,
reg ard for them at all?,"F ull of hila rious cowboy detail, this story is about what happens",6-7,
a hypnot ic Siamese cat and a f el i ne spy network.,"An amusing, ac tion-packed adventure.",6-7,
between taciturn Armadill o and the energet ic Hare.,Narwhal: Unicorn of the Sea!,6-7,
adventures together.,"With a mixture of fun fac ts, nonsense stories and an eccentric",6-7,
readers who enjoy something a bit diff erent.,Rosie Revere and the Raucous Riveters,6-7,
can Rosie engi neer a machi ne to help her?,Chall engi ng stereotypes about careers that might be,6-7,
friendship between generations.,Grobblechops,6-7,
gr owls l i ke a tiger.,"Dad reassures Amir that if he gr owls l ouder, the monster",6-7,
Gr obbl echops isn™t so bad a fter all.,Ill us t ra t ion © Nick Sharratt,6-7,
"the d a ffodils of March, the appl es of August, the l ea f fall of Oc tober.",It™s also fuel for children who w ant to channel their own em otions,6-7,
"her pet ca t, Jolly.",A magical and gently comic tal e of friendshi p and empathy.,6-7,
and w aits for his wif e.,A truly beautiful book showi ng the changi ng seasons that,6-7,
the Evil Geniuses?,Laughs abound i n the third book i n this w acky comic s eries.,6-7,
flat-headed fr og breathes th r ough its ski n?,The f ifth i n Owen Davey™s wonderful animal non- f ic tion,6-7,
accompanied by truly amazi ng graphic ill ustration.,How to Make Friends with a Ghost,6-7,
your l if e.,"An origi nal l ook at friendship with beautiful, retr o-i nspired ill ustration.",6-7,
i nventors and many more are compl etely fasci nati ng.,It™s also pitched at a good l evel for younger pri mary children,6-7,
with each other. Will the y ever manage to make up?,Accompanied by gorgeous ill ustrations that capture the,6-7,
highlights the importance of empathy.,21,6-7,
fl ooded i nhabitants of B umbl eton.,"Magical mayhem , friendship and a brill iant cast of",8-9,
w ait to play–,A fun and mildly scary virtu al r omp th r ough a computer,8-9,
diary to fi nd her?,A perf ec t read for anyone who l i kes real-l if e stories with,8-9,
pr ogramme,Brainbusters,8-9,
